أَتَىٰٓ                 ['ʔ', 'a', 't', 'a:']
أَيۡمَـٰنَكُمۡ             ['ʔ', 'a', 'j', 'm', 'a:', 'n', 'a', 'k', 'u', 'm']
دَخَلَاۢ                ['d', 'a', 'x', 'a', 'l', 'a:', 'm̃']
بَيۡنَكُمۡ               ['b', 'a', 'j', 'n', 'a', 'k', 'u', 'm']
فَتَزِلَّ                ['f', 'a', 't', 'a', 'z', 'i', 'l', 'l', 'a']
قَدَمُۢ                 ['q', 'a', 'd', 'a', 'm', 'u', 'm̃']
بَعۡدَ                 ['b', 'a', 'ʕ', 'd', 'a']
ثُبُوتِهَا              ['θ', 'u', 'b', 'u:', 't', 'i', 'h', 'a:']
وَتَذُوقُواۡ             ['w', 'a', 't', 'a', 'ð', 'u:', 'q', 'u:']
ٱلسُّوٓءَ               ['s', 's', 'u:', 'ʔ', 'a']
بِمَا                 ['b', 'i', 'm', 'a:']
صَدَدتُّمۡ               ['sˤ', 'a', 'd', 'a', 't', 't', 'u', 'm']
عَن                  ['ʕ', 'a', 'ŋ']
سَبِيلِ                ['s', 'a', 'b', 'i:', 'l', 'i']
ٱللَّهِ‌ۖ               ['l', 'l', 'l', 'a', 'h', 'i']
وَلَكُمۡ                ['w', 'a', 'l', 'a', 'k', 'u', 'm']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'u', 'n']
عَظِيمٌ                ['ʕ', 'a', 'ðˤ', 'i:', 'm']

16:95
وَلَا                 ['w', 'a', 'l', 'a:']
تَشۡتَرُواۡ              ['t', 'a', 'ʃ', 't', 'a', 'r', 'u:']
بِعَهۡدِ                ['b', 'i', 'ʕ', 'a', 'h', 'd', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
ثَمَنًا                ['θ', 'a', 'm', 'a', 'n', 'a', 'ŋˤ']
قَلِيلاً‌ۚ              ['q', 'a', 'l', 'i:', 'l', 'a', 'n']
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
عِندَ                 ['ʕ', 'i', 'ŋ', 'd', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
هُوَ                  ['h', 'u', 'w', 'a']
خَيۡرٌ                 ['x', 'a', 'j', 'r', 'u']
لَّكُمۡ                 ['l', 'l', 'a', 'k', 'u', 'm']
إِن                  ['ʔ', 'i', 'ŋ']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:96
مَا                  ['m', 'a:']
عِندَكُمۡ               ['ʕ', 'i', 'ŋ', 'd', 'a', 'k', 'u', 'm']
يَنفَدُ‌ۖ               ['j', 'a', 'ŋ', 'f', 'a', 'd', 'u']
وَمَا                 ['w', 'a', 'm', 'a:']
عِندَ                 ['ʕ', 'i', 'ŋ', 'd', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
بَاقٍ‌ۗ                ['b', 'a:', 'q', 'QQ']
وَلَنَجۡزِيَنَّ             ['w', 'a', 'l', 'a', 'n', 'a', 'ʒ', 'Q', 'z', 'i', 'j', 'a', 'ñ', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
صَبَرُوٓاۡ               ['sˤ', 'a', 'b', 'a', 'r', 'u:']
أَجۡرَهُم               ['ʔ', 'a', 'ʒ', 'Q', 'r', 'a', 'h', 'u', 'ɱ']
بِأَحۡسَنِ               ['b', 'i', 'ʔ', 'a', 'ħ', 's', 'a', 'n', 'i']
مَا                  ['m', 'a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يَعۡمَلُونَ              ['j', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n']

16:97
مَنۡ                  ['m', 'a', 'n']
عَمِلَ                 ['ʕ', 'a', 'm', 'i', 'l', 'a']
صَـٰلِحًا               ['sˤ', 'a:', 'l', 'i', 'ħ', 'a']
مِّن                  ['m̃', 'i', 'ŋ']
ذَكَرٍ                 ['ð', 'a', 'k', 'a', 'r', 'i', 'n']
أَوۡ                  ['ʔ', 'a', 'w']
أُنثَىٰ                ['ʔ', 'u', 'ŋ', 'θ', 'a:']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
مُؤۡمِنٌ                ['m', 'u', 'ʔ', 'm', 'i', 'n', 'u', 'ŋ']
فَلَنُحۡيِيَنَّهُۥ           ['f', 'a', 'l', 'a', 'n', 'u', 'ħ', 'j', 'i', 'j', 'a', 'ñ', 'a', 'h', 'u:']
حَيَوٰةً                ['ħ', 'a', 'j', 'a:', 't', 'a', 'ŋˤ']
طَيِّبَةً‌ۖ               ['tˤ', 'a', 'j', 'j', 'i', 'b', 'a', 't', 'a']
وَلَنَجۡزِيَنَّهُمۡ           ['w̃', 'a', 'l', 'a', 'n', 'a', 'ʒ', 'Q', 'z', 'i', 'j', 'a', 'ñ', 'a', 'h', 'u', 'm']
أَجۡرَهُم               ['ʔ', 'a', 'ʒ', 'Q', 'r', 'a', 'h', 'u', 'ɱ']
بِأَحۡسَنِ               ['b', 'i', 'ʔ', 'a', 'ħ', 's', 'a', 'n', 'i']
مَا                  ['m', 'a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يَعۡمَلُونَ              ['j', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n']

16:98
فَإِذَا                ['f', 'a', 'ʔ', 'i', 'ð', 'a:']
قَرَأۡتَ                ['q', 'a', 'r', 'a', 'ʔ', 't', 'a']
ٱلۡقُرۡءَانَ             ['l', 'q', 'u', 'r', 'ʔ', 'a:', 'n', 'a']
فَٱسۡتَعِذۡ              ['f', 'a', 's', 't', 'a', 'ʕ', 'i', 'ð']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلشَّيۡطَـٰنِ             ['ʃ', 'ʃ', 'a', 'j', 'tˤ', 'a:', 'n', 'i']
ٱلرَّجِيمِ              ['r', 'r', 'a', 'ʒ', 'i:', 'm']

16:99
إِنَّهُۥ                ['ʔ', 'i', 'ñ', 'a', 'h', 'u:']
لَيۡسَ                 ['l', 'a', 'j', 's', 'a']
لَهُۥ                 ['l', 'a', 'h', 'u:']
سُلۡطَـٰنٌ               ['s', 'u', 'l', 'tˤ', 'a:', 'n', 'u', 'n']
عَلَى                 ['ʕ', 'a', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
وَعَلَىٰ                ['w', 'a', 'ʕ', 'a', 'l', 'a:']
رَبِّهِمۡ                ['r', 'a', 'b', 'b', 'i', 'h', 'i', 'm']
يَتَوَكَّلُونَ             ['j', 'a', 't', 'a', 'w', 'a', 'k', 'k', 'a', 'l', 'u:', 'n']

16:100
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
سُلۡطَـٰنُهُۥ             ['s', 'u', 'l', 'tˤ', 'a:', 'n', 'u', 'h', 'u:']
عَلَى                 ['ʕ', 'a', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
يَتَوَلَّوۡنَهُۥ            ['j', 'a', 't', 'a', 'w', 'a', 'l', 'l', 'a', 'w', 'n', 'a', 'h', 'u:']
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
هُم                  ['h', 'u', 'ɱ']
بِهِۦ                 ['b', 'i', 'h', 'i:']
مُشۡرِكُونَ              ['m', 'u', 'ʃ', 'r', 'i', 'k', 'u:', 'n']

16:101
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
بَدَّلۡنَآ               ['b', 'a', 'd', 'd', 'a', 'l', 'n', 'a:']
ءَايَةً                ['ʔ', 'a:', 'j', 'a', 't', 'a']
مَّكَانَ                ['m̃', 'a', 'k', 'a:', 'n', 'a']
ءَايَةٍ‌ۙ               ['ʔ', 'a:', 'j', 'a', 't', 'i']
وَٱللَّهُ               ['w̃', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
أَعۡلَمُ                ['ʔ', 'a', 'ʕ', 'l', 'a', 'm', 'u']
بِمَا                 ['b', 'i', 'm', 'a:']
يُنَزِّلُ                ['j', 'u', 'n', 'a', 'z', 'z', 'i', 'l', 'u']
قَالُوٓاۡ               ['q', 'a:', 'l', 'u:']
إِنَّمَآ                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
أَنتَ                 ['ʔ', 'a', 'ŋ', 't', 'a']
مُفۡتَرِۭ‌ۚ               ['m', 'u', 'f', 't', 'a', 'r', 'i', 'm̃']
بَلۡ                  ['b', 'a', 'l']
أَكۡثَرُهُمۡ              ['ʔ', 'a', 'k', 'θ', 'a', 'r', 'u', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:102
قُلۡ                  ['q', 'u', 'l']
نَزَّلَهُۥ               ['n', 'a', 'z', 'z', 'a', 'l', 'a', 'h', 'u:']
رُوحُ                 ['r', 'u:', 'ħ', 'u']
ٱلۡقُدُسِ               ['l', 'q', 'u', 'd', 'u', 's', 'i']
مِن                  ['m', 'i']
رَّبِّكَ                 ['r', 'r', 'a', 'b', 'b', 'i', 'k', 'a']
بِٱلۡحَقِّ               ['b', 'i', 'l', 'ħ', 'a', 'q', 'q', 'i']
لِيُثَبِّتَ               ['l', 'i', 'j', 'u', 'θ', 'a', 'b', 'b', 'i', 't', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
وَهُدًى                ['w', 'a', 'h', 'u', 'd', 'a']
وَبُشۡرَىٰ               ['w̃', 'a', 'b', 'u', 'ʃ', 'r', 'a:']
لِلۡمُسۡلِمِينَ            ['l', 'i', 'l', 'm', 'u', 's', 'l', 'i', 'm', 'i:', 'n']

16:103
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
نَعۡلَمُ                ['n', 'a', 'ʕ', 'l', 'a', 'm', 'u']
أَنَّهُمۡ                ['ʔ', 'a', 'ñ', 'a', 'h', 'u', 'm']
يَقُولُونَ              ['j', 'a', 'q', 'u:', 'l', 'u:', 'n', 'a']
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
يُعَلِّمُهُۥ              ['j', 'u', 'ʕ', 'a', 'l', 'l', 'i', 'm', 'u', 'h', 'u:']
بَشَرٌ‌ۗ                ['b', 'a', 'ʃ', 'a', 'r']
لِّسَانُ                ['l', 'l', 'i', 's', 'a:', 'n', 'u']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
يُلۡحِدُونَ              ['j', 'u', 'l', 'ħ', 'i', 'd', 'u:', 'n', 'a']
إِلَيۡهِ                ['ʔ', 'i', 'l', 'a', 'j', 'h', 'i']
أَعۡجَمِىٌّ               ['ʔ', 'a', 'ʕ', 'ʒ', 'a', 'm', 'i', 'j', 'j', 'u']
وَهَـٰذَا               ['w̃', 'a', 'h', 'a:', 'ð', 'a:']
لِسَانٌ                ['l', 'i', 's', 'a:', 'n', 'u', 'n']
عَرَبِىٌّ                ['ʕ', 'a', 'r', 'a', 'b', 'i', 'j', 'j', 'u']
مُّبِينٌ                ['m̃', 'u', 'b', 'i:', 'n']

16:104
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
لَا                  ['l', 'a:']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
بِـَٔـايَـٰتِ             ['b', 'i', 'ʔ', 'a:', 'j', 'a:', 't', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
لَا                  ['l', 'a:']
يَهۡدِيهِمُ              ['j', 'a', 'h', 'd', 'i:', 'h', 'i', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
وَلَهُمۡ                ['w', 'a', 'l', 'a', 'h', 'u', 'm']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'u', 'n']
أَلِيمٌ                ['ʔ', 'a', 'l', 'i:', 'm']

16:105
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
يَفۡتَرِى               ['j', 'a', 'f', 't', 'a', 'r', 'i']
ٱلۡكَذِبَ               ['l', 'k', 'a', 'ð', 'i', 'b', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
لَا                  ['l', 'a:']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
بِـَٔـايَـٰتِ             ['b', 'i', 'ʔ', 'a:', 'j', 'a:', 't', 'i']
ٱللَّهِ‌ۖ               ['l', 'l', 'l', 'a', 'h', 'i']
وَأُوۡلَـٰٓئِكَ             ['w', 'a', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡكَـٰذِبُونَ            ['l', 'k', 'a:', 'ð', 'i', 'b', 'u:', 'n']

16:106
مَن                  ['m', 'a', 'ŋ']
كَفَرَ                 ['k', 'a', 'f', 'a', 'r', 'a']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
مِنۢ                  ['m', 'i', 'm̃']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
إِيمَـٰنِهِۦٓ             ['ʔ', 'i:', 'm', 'a:', 'n', 'i', 'h', 'i:']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
مَنۡ                  ['m', 'a', 'n']
أُكۡرِهَ                ['ʔ', 'u', 'k', 'r', 'i', 'h', 'a']
وَقَلۡبُهُۥ              ['w', 'a', 'q', 'a', 'l', 'b', 'u', 'h', 'u:']
مُطۡمَئِنُّۢ               ['m', 'u', 'tˤ', 'Q', 'm', 'a', 'ʔ', 'i', 'n', 'n', 'u', 'm̃']
بِٱلۡإِيمَـٰنِ            ['b', 'i', 'l', 'ʔ', 'i:', 'm', 'a:', 'n', 'i']
وَلَـٰكِن               ['w', 'a', 'l', 'a:', 'k', 'i']
مَّن                  ['m̃', 'a', 'ŋ']
شَرَحَ                 ['ʃ', 'a', 'r', 'a', 'ħ', 'a']
بِٱلۡكُفۡرِ              ['b', 'i', 'l', 'k', 'u', 'f', 'r', 'i']
صَدۡرًا                ['sˤ', 'a', 'd', 'Q', 'r', 'a', 'ŋ']
فَعَلَيۡهِمۡ              ['f', 'a', 'ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm']
غَضَبٌ                 ['ɣ', 'a', 'dˤ', 'a', 'b', 'u']
مِّنَ                  ['m̃', 'i', 'n', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
وَلَهُمۡ                ['w', 'a', 'l', 'a', 'h', 'u', 'm']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'u', 'n']
عَظِيمٌ                ['ʕ', 'a', 'ðˤ', 'i:', 'm']

16:107
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
بِأَنَّهُمُ               ['b', 'i', 'ʔ', 'a', 'ñ', 'a', 'h', 'u', 'm', 'u']
ٱسۡتَحَبُّواۡ             ['s', 't', 'a', 'ħ', 'a', 'b', 'b', 'u:']
ٱلۡحَيَوٰةَ              ['l', 'ħ', 'a', 'j', 'a:', 't', 'a']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
عَلَى                 ['ʕ', 'a', 'l', 'a']
ٱلۡأَخِرَةِ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
وَأَنَّ                 ['w', 'a', 'ʔ', 'a', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
لَا                  ['l', 'a:']
يَهۡدِى                ['j', 'a', 'h', 'd', 'i']
ٱلۡقَوۡمَ               ['l', 'q', 'a', 'w', 'm', 'a']
ٱلۡكَـٰفِرِينَ            ['l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

16:108
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
طَبَعَ                 ['tˤ', 'a', 'b', 'a', 'ʕ', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
قُلُوبِهِمۡ              ['q', 'u', 'l', 'u:', 'b', 'i', 'h', 'i', 'm']
وَسَمۡعِهِمۡ              ['w', 'a', 's', 'a', 'm', 'ʕ', 'i', 'h', 'i', 'm']
وَأَبۡصَـٰرِهِمۡ‌ۖ           ['w', 'a', 'ʔ', 'a', 'b', 'Q', 'sˤ', 'a:', 'r', 'i', 'h', 'i', 'm']
وَأُوۡلَـٰٓئِكَ             ['w', 'a', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡغَـٰفِلُونَ            ['l', 'ɣ', 'a:', 'f', 'i', 'l', 'u:', 'n']

16:109
لَا                  ['l', 'a:']
جَرَمَ                 ['ʒ', 'a', 'r', 'a', 'm', 'a']
أَنَّهُمۡ                ['ʔ', 'a', 'ñ', 'a', 'h', 'u', 'm']
فِى                  ['f', 'i']
ٱلۡأَخِرَةِ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡخَـٰسِرُونَ            ['l', 'x', 'a:', 's', 'i', 'r', 'u:', 'n']

16:110
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
رَبَّكَ                 ['r', 'a', 'b', 'b', 'a', 'k', 'a']
لِلَّذِينَ               ['l', 'i', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
هَاجَرُواۡ              ['h', 'a:', 'ʒ', 'a', 'r', 'u:']
مِنۢ                  ['m', 'i', 'm̃']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
مَا                  ['m', 'a:']
فُتِنُواۡ               ['f', 'u', 't', 'i', 'n', 'u:']
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
جَـٰهَدُواۡ              ['ʒ', 'a:', 'h', 'a', 'd', 'u:']
وَصَبَرُوٓاۡ              ['w', 'a', 'sˤ', 'a', 'b', 'a', 'r', 'u:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
رَبَّكَ                 ['r', 'a', 'b', 'b', 'a', 'k', 'a']
مِنۢ                  ['m', 'i', 'm̃']
بَعۡدِهَا               ['b', 'a', 'ʕ', 'd', 'i', 'h', 'a:']
لَغَفُورٌ               ['l', 'a', 'ɣ', 'a', 'f', 'u:', 'r', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

16:111
۞يَوۡمَ                ['j', 'a', 'w', 'm', 'a']
تَأۡتِى                ['t', 'a', 'ʔ', 't', 'i:']
كُلُّ                  ['k', 'u', 'l', 'l', 'u']
نَفۡسٍ                 ['n', 'a', 'f', 's', 'i', 'ŋ']
تُجَـٰدِلُ               ['t', 'u', 'ʒ', 'a:', 'd', 'i', 'l', 'u']
عَن                  ['ʕ', 'a']
نَّفۡسِهَا               ['ñ', 'a', 'f', 's', 'i', 'h', 'a:']
وَتُوَفَّىٰ               ['w', 'a', 't', 'u', 'w', 'a', 'f', 'f', 'a:']
كُلُّ                  ['k', 'u', 'l', 'l', 'u']
نَفۡسٍ                 ['n', 'a', 'f', 's', 'i']
مَّا                  ['m̃', 'a:']
عَمِلَتۡ                ['ʕ', 'a', 'm', 'i', 'l', 'a', 't']
وَهُمۡ                 ['w', 'a', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يُظۡلَمُونَ              ['j', 'u', 'ðˤ', 'l', 'a', 'm', 'u:', 'n']

16:112
وَضَرَبَ                ['w', 'a', 'dˤ', 'a', 'r', 'a', 'b', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مَثَلاً                ['m', 'a', 'θ', 'a', 'l', 'a', 'ŋˤ']
قَرۡيَةً                ['q', 'a', 'r', 'j', 'a', 't', 'a', 'ŋ']
كَانَتۡ                ['k', 'a:', 'n', 'a', 't']
ءَامِنَةً               ['ʔ', 'a:', 'm', 'i', 'n', 'a', 't', 'a']
مُّطۡمَئِنَّةً              ['m̃', 'u', 'tˤ', 'Q', 'm', 'a', 'ʔ', 'i', 'ñ', 'a', 't', 'a']
يَأۡتِيهَا              ['j̃', 'a', 'ʔ', 't', 'i:', 'h', 'a:']
رِزۡقُهَا               ['r', 'i', 'z', 'q', 'u', 'h', 'a:']
رَغَدًا                ['r', 'a', 'ɣ', 'a', 'd', 'a']
مِّن                  ['m̃', 'i', 'ŋ']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
مَكَانٍ                ['m', 'a', 'k', 'a:', 'n', 'i', 'ŋ']
فَكَفَرَتۡ               ['f', 'a', 'k', 'a', 'f', 'a', 'r', 'a', 't']
بِأَنۡعُمِ               ['b', 'i', 'ʔ', 'a', 'n', 'ʕ', 'u', 'm', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
فَأَذٰقَهَا              ['f', 'a', 'ʔ', 'a', 'ð', 'a:', 'q', 'a', 'h', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
لِبَاسَ                ['l', 'i', 'b', 'a:', 's', 'a']
ٱلۡجُوعِ               ['l', 'ʒ', 'u:', 'ʕ', 'i']
وَٱلۡخَوۡفِ              ['w', 'a', 'l', 'x', 'a', 'w', 'f', 'i']
بِمَا                 ['b', 'i', 'm', 'a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يَصۡنَعُونَ              ['j', 'a', 'sˤ', 'n', 'a', 'ʕ', 'u:', 'n']

16:113
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
جَآءَهُمۡ               ['ʒ', 'a:', 'ʔ', 'a', 'h', 'u', 'm']
رَسُولٌ                ['r', 'a', 's', 'u:', 'l', 'u']
مِّنۡهُمۡ                ['m̃', 'i', 'n', 'h', 'u', 'm']
فَكَذَّبُوهُ              ['f', 'a', 'k', 'a', 'ð', 'ð', 'a', 'b', 'u:', 'h', 'u']
فَأَخَذَهُمُ              ['f', 'a', 'ʔ', 'a', 'x', 'a', 'ð', 'a', 'h', 'u', 'm', 'u']
ٱلۡعَذَابُ              ['l', 'ʕ', 'a', 'ð', 'a:', 'b', 'u']
وَهُمۡ                 ['w', 'a', 'h', 'u', 'm']
ظَـٰلِمُونَ              ['ðˤ', 'a:', 'l', 'i', 'm', 'u:', 'n']

16:114
فَكُلُواۡ               ['f', 'a', 'k', 'u', 'l', 'u:']
مِمَّا                 ['m', 'i', 'm̃', 'a:']
رَزَقَكُمُ               ['r', 'a', 'z', 'a', 'q', 'a', 'k', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
حَلَـٰلاً               ['ħ', 'a', 'l', 'a:', 'l', 'a', 'ŋˤ']
طَيِّبًا                ['tˤ', 'a', 'j', 'j', 'i', 'b', 'a']
وَٱشۡكُرُواۡ             ['w̃', 'a', 'ʃ', 'k', 'u', 'r', 'u:']
نِعۡمَتَ                ['n', 'i', 'ʕ', 'm', 'a', 't', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
إِن                  ['ʔ', 'i', 'ŋ']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
إِيَّاهُ                ['ʔ', 'i', 'j', 'j', 'a:', 'h', 'u']
تَعۡبُدُونَ              ['t', 'a', 'ʕ', 'b', 'u', 'd', 'u:', 'n']

16:115
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
حَرَّمَ                 ['ħ', 'a', 'r', 'r', 'a', 'm', 'a']
عَلَيۡكُمُ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm', 'u']
ٱلۡمَيۡتَةَ              ['l', 'm', 'a', 'j', 't', 'a', 't', 'a']
وَٱلدَّمَ               ['w', 'a', 'd', 'd', 'a', 'm', 'a']
وَلَحۡمَ                ['w', 'a', 'l', 'a', 'ħ', 'm', 'a']
ٱلۡخِنزِيرِ             ['l', 'x', 'i', 'ŋ', 'z', 'i:', 'r', 'i']
وَمَآ                 ['w', 'a', 'm', 'a:']
أُهِلَّ                 ['ʔ', 'u', 'h', 'i', 'l', 'l', 'a']
لِغَيۡرِ                ['l', 'i', 'ɣ', 'a', 'j', 'r', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
بِهِۦ‌ۖ                ['b', 'i', 'h', 'i:']
فَمَنِ                 ['f', 'a', 'm', 'a', 'n', 'i']
ٱضۡطُرَّ                ['dˤ', 'tˤ', 'u', 'r', 'r', 'a']
غَيۡرَ                 ['ɣ', 'a', 'j', 'r', 'a']
بَاغٍ                 ['b', 'a:', 'ɣ', 'i']
وَلَا                 ['w̃', 'a', 'l', 'a:']
عَادٍ                 ['ʕ', 'a:', 'd', 'i', 'ŋ']
فَإِنَّ                 ['f', 'a', 'ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
غَفُورٌ                ['ɣ', 'a', 'f', 'u:', 'r', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

16:116
وَلَا                 ['w', 'a', 'l', 'a:']
تَقُولُواۡ              ['t', 'a', 'q', 'u:', 'l', 'u:']
لِمَا                 ['l', 'i', 'm', 'a:']
تَصِفُ                 ['t', 'a', 'sˤ', 'i', 'f', 'u']
أَلۡسِنَتُكُمُ             ['ʔ', 'a', 'l', 's', 'i', 'n', 'a', 't', 'u', 'k', 'u', 'm', 'u']
ٱلۡكَذِبَ               ['l', 'k', 'a', 'ð', 'i', 'b', 'a']
هَـٰذَا                ['h', 'a:', 'ð', 'a:']
حَلَـٰلٌ                ['ħ', 'a', 'l', 'a:', 'l', 'u']
وَهَـٰذَا               ['w̃', 'a', 'h', 'a:', 'ð', 'a:']
حَرَامٌ                ['ħ', 'a', 'r', 'a:', 'm', 'u']
لِّتَفۡتَرُواۡ             ['l', 'l', 'i', 't', 'a', 'f', 't', 'a', 'r', 'u:']
عَلَى                 ['ʕ', 'a', 'l', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
ٱلۡكَذِبَ‌ۚ              ['l', 'k', 'a', 'ð', 'i', 'b', 'a']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
يَفۡتَرُونَ              ['j', 'a', 'f', 't', 'a', 'r', 'u:', 'n', 'a']
عَلَى                 ['ʕ', 'a', 'l', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
ٱلۡكَذِبَ               ['l', 'k', 'a', 'ð', 'i', 'b', 'a']
لَا                  ['l', 'a:']
يُفۡلِحُونَ              ['j', 'u', 'f', 'l', 'i', 'ħ', 'u:', 'n']

16:117
