الٓمٓ                 ['l', 'm']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
فَيَعۡلَمُونَ             ['f', 'a', 'j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n', 'a']
أَنَّهُ                 ['ʔ', 'a', 'n̰', 'a', 'h', 'u']
ٱلۡحَقُّ                ['l', 'ħ', 'a', 'q', 'q', 'u']
مِن                  ['m', 'i']
رَّبِّهِمۡ‌ۖ               ['r', 'r', 'a', 'b', 'b', 'i', 'h', 'i', 'm']
وَأَمَّا                ['w', 'a', 'ʔ', 'a', 'm̰', 'a:']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
فَيَقُولُونَ             ['f', 'a', 'j', 'a', 'q', 'u:', 'l', 'u:', 'n', 'a']
مَاذَآ                ['m', 'a:', 'ð', 'a:']
أَرَادَ                ['ʔ', 'a', 'r', 'a:', 'd', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِهَـٰذَا               ['b', 'i', 'h', 'a:', 'ð', 'a:']
مَثَلاً‌ۘ               ['m', 'a', 'θ', 'a', 'l:', 'a']
يُضِلُّ                 ['j̰', 'u', 'dˤ', 'i', 'l', 'l', 'u']
بِهِۦ                 ['b', 'i', 'h', 'i:']
كَثِيرًا               ['k', 'a', 'θ', 'i:', 'r', 'a']
وَيَهۡدِى               ['w̰', 'a', 'j', 'a', 'h', 'd', 'i:']
بِهِۦ                 ['b', 'i', 'h', 'i:']
كَثِيرًا‌ۚ              ['k', 'a', 'θ', 'i:', 'r', 'a']
وَمَا                 ['w̰', 'a', 'm', 'a:']
يُضِلُّ                 ['j', 'u', 'dˤ', 'i', 'l', 'l', 'u']
بِهِۦٓ                 ['b', 'i', 'h', 'i:']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
ٱلۡفَـٰسِقِينَ            ['l', 'f', 'a:', 's', 'i', 'q', 'i:', 'n']

27
ٱلَّذِينَ               ['l', 'a', 'ð', 'i:', 'n', 'a']
يَنقُضُونَ              ['j', 'a', 'Ikh2', 'q', 'u', 'dˤ', 'u:', 'n', 'a']
عَهۡدَ                 ['ʕ', 'a', 'h', 'd', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
مِنۢ                  ['m', 'i', 'm̰']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
مِيثَـٰقِهِۦ             ['m', 'i:', 'θ', 'a:', 'q', 'i', 'h', 'i:']
وَيَقۡطَعُونَ             ['w', 'a', 'j', 'a', 'q', 'Q', 'tˤ', 'a', 'ʕ', 'u:', 'n', 'a']
مَآ                  ['m', 'a:']
أَمَرَ                 ['ʔ', 'a', 'm', 'a', 'r', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِهِۦٓ                 ['b', 'i', 'h', 'i:']
أَن                  ['ʔ', 'a']
يُوصَلَ                ['j̰', 'u:', 'sˤ', 'a', 'l', 'a']
وَيُفۡسِدُونَ             ['w', 'a', 'j', 'u', 'f', 's', 'i', 'd', 'u:', 'n', 'a']
فِى                  ['f', 'i:']
ٱلۡأَرۡضِ‌ۚ              ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡخَـٰسِرُونَ            ['l', 'x', 'a:', 's', 'i', 'r', 'u:', 'n']

28
كَيۡفَ                 ['k', 'a', 'j', 'f', 'a']
تَكۡفُرُونَ              ['t', 'a', 'k', 'f', 'u', 'r', 'u:', 'n', 'a']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
وَكُنتُمۡ               ['w', 'a', 'k', 'u', 'Ikh1', 't', 'u', 'm']
أَمۡوٰتًا               ['ʔ', 'a', 'm', 'w', 'a:', 't', 'a', 'Ikh1']
فَأَحۡيَـٰكُمۡ‌ۖ            ['f', 'a', 'ʔ', 'a', 'ħ', 'j', 'a:', 'k', 'u', 'm']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
يُمِيتُكُمۡ              ['j', 'u', 'm', 'i:', 't', 'u', 'k', 'u', 'm']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
يُحۡيِيكُمۡ              ['j', 'u', 'ħ', 'j', 'i:', 'k', 'u', 'm']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
إِلَيۡهِ                ['ʔ', 'i', 'l', 'a', 'j', 'h', 'i']
تُرۡجَعُونَ              ['t', 'u', 'r', 'ʒ', 'a', 'ʕ', 'u:', 'n']

29
هُوَ                  ['h', 'u', 'w', 'a']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
خَلَقَ                 ['x', 'a', 'l', 'a', 'q', 'a']
لَكُم                 ['l', 'a', 'k', 'u', 'm̰']
مَّا                  ['a:']
فِى                  ['f', 'i:']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
جَمِيعًا               ['ʒ', 'a', 'm', 'i:', 'ʕ', 'a', 'Ikh1']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
ٱسۡتَوَىٰٓ               ['s', 't', 'a', 'w', 'a:']
إِلَى                 ['ʔ', 'i', 'l', 'a:']
ٱلسَّمَآءِ              ['s', 's', 'a', 'm', 'a:', 'ʔ', 'i']
فَسَوَّٮٰهُنَّ              ['f', 'a', 's', 'a', 'w', 'w', 'a:', 'h', 'u', 'n̰', 'a']
سَبۡعَ                 ['s', 'a', 'b', 'Q', 'ʕ', 'a']
سَمَـٰوٰتٍ‌ۚ              ['s', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
وَهُوَ                 ['w̰', 'a', 'h', 'u', 'w', 'a']
بِكُلِّ                 ['b', 'i', 'k', 'u', 'l', 'l', 'i']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'in']
عَلِيمٌ                ['ʕ', 'a', 'l', 'i:', 'm']

30
وَإِذۡ                 ['w', 'a', 'ʔ', 'i', 'ð']
قَالَ                 ['q', 'a:', 'l', 'a']
رَبُّكَ                 ['r', 'a', 'b', 'b', 'u', 'k', 'a']
لِلۡمَلَـٰٓئِكَةِ            ['l', 'i', 'l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'i']
إِنِّى                 ['ʔ', 'i', 'n̰', 'i:']
جَاعِلٌ                ['ʒ', 'a:', 'ʕ', 'i', 'l', 'u', 'Ikh1']
فِى                  ['f', 'i:']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
خَلِيفَةً‌ۖ              ['x', 'a', 'l', 'i:', 'f', 'a', 't', 'a', 'Ikh2']
قَالُوٓاۡ               ['q', 'a:', 'l', 'u:']
أَتَجۡعَلُ               ['ʔ', 'a', 't', 'a', 'ʒ', 'Q', 'ʕ', 'a', 'l', 'u']
فِيهَا                ['f', 'i:', 'h', 'a:']
مَن                  ['m', 'a']
يُفۡسِدُ                ['j̰', 'u', 'f', 's', 'i', 'd', 'u']
فِيهَا                ['f', 'i:', 'h', 'a:']
وَيَسۡفِكُ               ['w', 'a', 'j', 'a', 's', 'f', 'i', 'k', 'u']
ٱلدِّمَآءَ              ['d', 'd', 'i', 'm', 'a:', 'ʔ', 'a']
وَنَحۡنُ                ['w', 'a', 'n', 'a', 'ħ', 'n', 'u']
نُسَبِّحُ                ['n', 'u', 's', 'a', 'b', 'b', 'i', 'ħ', 'u']
بِحَمۡدِكَ               ['b', 'i', 'ħ', 'a', 'm', 'd', 'i', 'k', 'a']
وَنُقَدِّسُ               ['w', 'a', 'n', 'u', 'q', 'a', 'd', 'd', 'i', 's', 'u']
لَكَ‌ۖ                 ['l', 'a', 'k', 'a']
قَالَ                 ['q', 'a:', 'l', 'a']
إِنِّىٓ                 ['ʔ', 'i', 'n̰', 'i:']
أَعۡلَمُ                ['ʔ', 'a', 'ʕ', 'l', 'a', 'm', 'u']
مَا                  ['m', 'a:']
لَا                  ['l', 'a:']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

31
وَعَلَّمَ                ['w', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'm', 'a']
ءَادَمَ                ['ʔ', 'a:', 'd', 'a', 'm', 'a']
ٱلۡأَسۡمَآءَ             ['l', 'ʔ', 'a', 's', 'm', 'a:', 'ʔ', 'a']
كُلَّهَا                ['k', 'u', 'l', 'l', 'a', 'h', 'a:']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
عَرَضَهُمۡ               ['ʕ', 'a', 'r', 'a', 'dˤ', 'a', 'h', 'u', 'm']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلۡمَلَـٰٓئِكَةِ            ['l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'i']
فَقَالَ                ['f', 'a', 'q', 'a:', 'l', 'a']
أَنۢبِــُٔونِى            ['ʔ', 'a', 'm̰', 'b', 'i', 'ʔ', 'u:', 'n', 'i:']
بِأَسۡمَآءِ              ['b', 'i', 'ʔ', 'a', 's', 'm', 'a:', 'ʔ', 'i']
هَـٰٓؤُلَآءِ              ['h', 'a:', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i']
إِن                  ['ʔ', 'i', 'Ikh1']
كُنتُمۡ                ['k', 'u', 'Ikh1', 't', 'u', 'm']
صَـٰدِقِينَ              ['sˤ', 'a:', 'd', 'i', 'q', 'i:', 'n']

32
قَالُواۡ               ['q', 'a:', 'l', 'u:']
سُبۡحَـٰنَكَ              ['s', 'u', 'b', 'Q', 'ħ', 'a:', 'n', 'a', 'k', 'a']
لَا                  ['l', 'a:']
عِلۡمَ                 ['ʕ', 'i', 'l', 'm', 'a']
لَنَآ                 ['l', 'a', 'n', 'a:']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
مَا                  ['m', 'a:']
عَلَّمۡتَنَآ‌ۖ             ['ʕ', 'a', 'l', 'l', 'a', 'm', 't', 'a', 'n', 'a:']
إِنَّكَ                 ['ʔ', 'i', 'n̰', 'a', 'k', 'a']
أَنتَ                 ['ʔ', 'a', 'Ikh1', 't', 'a']
ٱلۡعَلِيمُ              ['l', 'ʕ', 'a', 'l', 'i:', 'm', 'u']
ٱلۡحَكِيمُ              ['l', 'ħ', 'a', 'k', 'i:', 'm']

33
قَالَ                 ['q', 'a:', 'l', 'a']
يَـٰٓـــَٔادَمُ            ['j', 'a:', 'ʔ', 'a:', 'd', 'a', 'm', 'u']
أَنۢبِئۡهُم              ['ʔ', 'a', 'm̰', 'b', 'i', 'ʔ', 'h', 'u', 'Ikh']
بِأَسۡمَآئِهِمۡ‌ۖ           ['b', 'i', 'ʔ', 'a', 's', 'm', 'a:', 'ʔ', 'i', 'h', 'i', 'm']
فَلَمَّآ                ['f', 'a', 'l', 'a', 'm̰', 'a:']
أَنۢبَأَهُم              ['ʔ', 'a', 'm̰', 'b', 'a', 'ʔ', 'a', 'h', 'u', 'Ikh']
بِأَسۡمَآئِهِمۡ            ['b', 'i', 'ʔ', 'a', 's', 'm', 'a:', 'ʔ', 'i', 'h', 'i', 'm']
قَالَ                 ['q', 'a:', 'l', 'a']
أَلَمۡ                 ['ʔ', 'a', 'l', 'a', 'm']
أَقُل                 ['ʔ', 'a', 'q', 'u', 'l']
لَّكُمۡ                 ['l', 'l', 'a', 'k', 'u', 'm']
إِنِّىٓ                 ['ʔ', 'i', 'n̰', 'i:']
أَعۡلَمُ                ['ʔ', 'a', 'ʕ', 'l', 'a', 'm', 'u']
غَيۡبَ                 ['ɣ', 'a', 'j', 'b', 'a']
ٱلسَّمَـٰوٰتِ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
وَٱلۡأَرۡضِ              ['w', 'a', 'l', 'ʔ', 'a', 'r', 'dˤ', 'i']
وَأَعۡلَمُ               ['w', 'a', 'ʔ', 'a', 'ʕ', 'l', 'a', 'm', 'u']
مَا                  ['m', 'a:']
تُبۡدُونَ               ['t', 'u', 'b', 'Q', 'd', 'u:', 'n', 'a']
وَمَا                 ['w', 'a', 'm', 'a:']
كُنتُمۡ                ['k', 'u', 'Ikh1', 't', 'u', 'm']
تَكۡتُمُونَ              ['t', 'a', 'k', 't', 'u', 'm', 'u:', 'n']

34
وَإِذۡ                 ['w', 'a', 'ʔ', 'i', 'ð']
قُلۡنَا                ['q', 'u', 'l', 'n', 'a:']
لِلۡمَلَـٰٓئِكَةِ            ['l', 'i', 'l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'i']
ٱسۡجُدُواۡ              ['s', 'ʒ', 'u', 'd', 'u:']
لِأَدَمَ                ['l', 'i', 'ʔ', 'a', 'd', 'a', 'm', 'a']
فَسَجَدُوٓاۡ              ['f', 'a', 's', 'a', 'ʒ', 'a', 'd', 'u:']
إِلَّآ                 ['ʔ', 'i', 'l', 'l', 'a:']
إِبۡلِيسَ               ['ʔ', 'i', 'b', 'Q', 'l', 'i:', 's', 'a']
أَبَىٰ                 ['ʔ', 'a', 'b', 'a:']
وَٱسۡتَكۡبَرَ             ['w', 'a', 's', 't', 'a', 'k', 'b', 'a', 'r', 'a']
وَكَانَ                ['w', 'a', 'k', 'a:', 'n', 'a']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡكَـٰفِرِينَ            ['l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

35
وَقُلۡنَا               ['w', 'a', 'q', 'u', 'l', 'n', 'a:']
يَـٰٓـــَٔادَمُ            ['j', 'a:', 'ʔ', 'a:', 'd', 'a', 'm', 'u']
ٱسۡكُنۡ                ['s', 'k', 'u', 'n']
أَنتَ                 ['ʔ', 'a', 'Ikh1', 't', 'a']
وَزَوۡجُكَ               ['w', 'a', 'z', 'a', 'w', 'ʒ', 'u', 'k', 'a']
ٱلۡجَنَّةَ               ['l', 'ʒ', 'a', 'n̰', 'a', 't', 'a']
وَكُلَا                ['w', 'a', 'k', 'u', 'l', 'a:']
مِنۡهَا                ['m', 'i', 'n', 'h', 'a:']
رَغَدًا                ['r', 'a', 'ɣ', 'a', 'd', 'an']
حَيۡثُ                 ['ħ', 'a', 'j', 'θ', 'u']
شِئۡتُمَا               ['ʃ', 'i', 'ʔ', 't', 'u', 'm', 'a:']
وَلَا                 ['w', 'a', 'l', 'a:']
تَقۡرَبَا               ['t', 'a', 'q', 'Q', 'r', 'a', 'b', 'a:']
هَـٰذِهِ                ['h', 'a:', 'ð', 'i', 'h', 'i']
ٱلشَّجَرَةَ              ['ʃ', 'ʃ', 'a', 'ʒ', 'a', 'r', 'a', 't', 'a']
فَتَكُونَا              ['f', 'a', 't', 'a', 'k', 'u:', 'n', 'a:']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلظَّـٰلِمِينَ            ['ðˤ', 'ðˤ', 'a:', 'l', 'i', 'm', 'i:', 'n']

36
فَأَزَلَّهُمَا             ['f', 'a', 'ʔ', 'a', 'z', 'a', 'l', 'l', 'a', 'h', 'u', 'm', 'a:']
ٱلشَّيۡطَـٰنُ             ['ʃ', 'ʃ', 'a', 'j', 'tˤ', 'a:', 'n', 'u']
عَنۡهَا                ['ʕ', 'a', 'n', 'h', 'a:']
فَأَخۡرَجَهُمَا            ['f', 'a', 'ʔ', 'a', 'x', 'r', 'a', 'ʒ', 'a', 'h', 'u', 'm', 'a:']
مِمَّا                 ['m', 'i', 'm̰', 'a:']
كَانَا                ['k', 'a:', 'n', 'a:']
فِيهِ‌ۖ                ['f', 'i:', 'h', 'i']
وَقُلۡنَا               ['w', 'a', 'q', 'u', 'l', 'n', 'a:']
ٱهۡبِطُواۡ              ['h', 'b', 'i', 'tˤ', 'u:']
بَعۡضُكُمۡ               ['b', 'a', 'ʕ', 'dˤ', 'u', 'k', 'u', 'm']
لِبَعۡضٍ                ['l', 'i', 'b', 'a', 'ʕ', 'dˤ', 'in']
عَدُوٌّ‌ۖ                ['ʕ', 'a', 'd', 'u', 'w', 'w', 'u']
وَلَكُمۡ                ['w̰', 'a', 'l', 'a', 'k', 'u', 'm']
فِى                  ['f', 'i:']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
مُسۡتَقَرٌّ               ['m', 'u', 's', 't', 'a', 'q', 'a', 'r', 'r', 'u']
وَمَتَـٰعٌ               ['w̰', 'a', 'm', 'a', 't', 'a:', 'ʕ', 'un']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
حِينٍ                 ['ħ', 'i:', 'n']

37
فَتَلَقَّىٰٓ               ['f', 'a', 't', 'a', 'l', 'a', 'q', 'q', 'a:']
ءَادَمُ                ['ʔ', 'a:', 'd', 'a', 'm', 'u']
مِن                  ['m', 'i']
رَّبِّهِۦ                ['r', 'r', 'a', 'b', 'b', 'i', 'h', 'i:']
كَلِمَـٰتٍ               ['k', 'a', 'l', 'i', 'm', 'a:', 't', 'i', 'Ikh1']
فَتَابَ                ['f', 'a', 't', 'a:', 'b', 'a']
عَلَيۡهِ‌ۚ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i']
إِنَّهُۥ                ['ʔ', 'i', 'n̰', 'a', 'h', 'u:']
هُوَ                  ['h', 'u', 'w', 'a']
ٱلتَّوَّابُ              ['t', 't', 'a', 'w', 'w', 'a:', 'b', 'u']
ٱلرَّحِيمُ              ['r', 'r', 'a', 'ħ', 'i:', 'm']

38
قُلۡنَا                ['q', 'u', 'l', 'n', 'a:']
ٱهۡبِطُواۡ              ['h', 'b', 'i', 'tˤ', 'u:']
مِنۡهَا                ['m', 'i', 'n', 'h', 'a:']
جَمِيعًا‌ۖ              ['ʒ', 'a', 'm', 'i:', 'ʕ', 'a', 'Ikh1']
فَإِمَّا                ['f', 'a', 'ʔ', 'i', 'm̰', 'a:']
يَأۡتِيَنَّكُم             ['j', 'a', 'ʔ', 't', 'i', 'j', 'a', 'n̰', 'a', 'k', 'u', 'm̰']
مِّنِّى                 ['i', 'n̰', 'i:']
هُدًى                 ['h', 'u', 'd', 'a', 'Ikh1']
فَمَن                 ['f', 'a', 'm', 'a', 'Ikh1']
تَبِعَ                 ['t', 'a', 'b', 'i', 'ʕ', 'a']
هُدَاىَ                ['h', 'u', 'd', 'a:', 'j', 'a']
فَلَا                 ['f', 'a', 'l', 'a:']
خَوۡفٌ                 ['x', 'a', 'w', 'f', 'un']
عَلَيۡهِمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
هُمۡ                  ['h', 'u', 'm']
يَحۡزَنُونَ              ['j', 'a', 'ħ', 'z', 'a', 'n', 'u:', 'n']

39
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
وَكَذَّبُواۡ              ['w', 'a', 'k', 'a', 'ð', 'ð', 'a', 'b', 'u:']
بِـَٔـايَـٰتِنَآ           ['b', 'i', 'ʔ', 'a:', 'j', 'a:', 't', 'i', 'n', 'a:']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
أَصۡحَـٰبُ               ['ʔ', 'a', 'sˤ', 'ħ', 'a:', 'b', 'u']
ٱلنَّارِ‌ۖ              ['n̰', 'a:', 'r', 'i']
هُمۡ                  ['h', 'u', 'm']
فِيهَا                ['f', 'i:', 'h', 'a:']
خَـٰلِدُونَ              ['x', 'a:', 'l', 'i', 'd', 'u:', 'n']

40
يَـٰبَنِىٓ               ['j', 'a:', 'b', 'a', 'n', 'i:']
إِسۡرٰٓءِيلَ              ['ʔ', 'i', 's', 'r', 'a:', 'ʔ', 'i:', 'l', 'a']
ٱذۡكُرُواۡ              ['ð', 'k', 'u', 'r', 'u:']
نِعۡمَتِىَ               ['n', 'i', 'ʕ', 'm', 'a', 't', 'i', 'j', 'a']
ٱلَّتِىٓ                ['l', 'l', 'a', 't', 'i:']
أَنۡعَمۡتُ               ['ʔ', 'a', 'n', 'ʕ', 'a', 'm', 't', 'u']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
وَأَوۡفُواۡ              ['w', 'a', 'ʔ', 'a', 'w', 'f', 'u:']
بِعَهۡدِىٓ               ['b', 'i', 'ʕ', 'a', 'h', 'd', 'i:']
أُوفِ                 ['ʔ', 'u:', 'f', 'i']
بِعَهۡدِكُمۡ              ['b', 'i', 'ʕ', 'a', 'h', 'd', 'i', 'k', 'u', 'm']
وَإِيَّـٰىَ               ['w', 'a', 'ʔ', 'i', 'j', 'j', 'a:', 'j', 'a']
فَٱرۡهَبُونِ             ['f', 'a', 'r', 'h', 'a', 'b', 'u:', 'n']

41
وَءَامِنُواۡ             ['w', 'a', 'ʔ', 'a:', 'm', 'i', 'n', 'u:']
بِمَآ                 ['b', 'i', 'm', 'a:']
أَنزَلۡتُ               ['ʔ', 'a', 'Ikh1', 'z', 'a', 'l', 't', 'u']
مُصَدِّقًا               ['m', 'u', 'sˤ', 'a', 'd', 'd', 'i', 'q', 'a']
لِّمَا                 ['l', 'l', 'i', 'm', 'a:']
مَعَكُمۡ                ['m', 'a', 'ʕ', 'a', 'k', 'u', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
تَكُونُوٓاۡ              ['t', 'a', 'k', 'u:', 'n', 'u:']
أَوَّلَ                 ['ʔ', 'a', 'w', 'w', 'a', 'l', 'a']
كَافِرِۭ                ['k', 'a:', 'f', 'i', 'r', 'i', 'm̰']
بِهِۦ‌ۖ                ['b', 'i', 'h', 'i:']
وَلَا                 ['w', 'a', 'l', 'a:']
تَشۡتَرُواۡ              ['t', 'a', 'ʃ', 't', 'a', 'r', 'u:']
بِـَٔـايَـٰتِى            ['b', 'i', 'ʔ', 'a:', 'j', 'a:', 't', 'i:']
ثَمَنًا                ['θ', 'a', 'm', 'a', 'n', 'a', 'Ikh2']
قَلِيلاً               ['q', 'a', 'l', 'i:', 'l:', 'a']
وَإِيَّـٰىَ               ['w̰', 'a', 'ʔ', 'i', 'j', 'j', 'a:', 'j', 'a']
فَٱتَّقُونِ              ['f', 'a', 't', 't', 'a', 'q', 'u:', 'n']

42
وَلَا                 ['w', 'a', 'l', 'a:']
تَلۡبِسُواۡ              ['t', 'a', 'l', 'b', 'i', 's', 'u:']
ٱلۡحَقَّ                ['l', 'ħ', 'a', 'q', 'q', 'a']
بِٱلۡبَـٰطِلِ             ['b', 'i', 'l', 'b', 'a:', 'tˤ', 'i', 'l', 'i']
وَتَكۡتُمُواۡ             ['w', 'a', 't', 'a', 'k', 't', 'u', 'm', 'u:']
ٱلۡحَقَّ                ['l', 'ħ', 'a', 'q', 'q', 'a']
وَأَنتُمۡ               ['w', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

43
وَأَقِيمُواۡ             ['w', 'a', 'ʔ', 'a', 'q', 'i:', 'm', 'u:']
ٱلصَّلَوٰةَ              ['sˤ', 'sˤ', 'a', 'l', 'a', 't', 'a']
وَءَاتُواۡ              ['w', 'a', 'ʔ', 'a:', 't', 'u:']
ٱلزَّكَوٰةَ              ['z', 'z', 'a', 'k', 'a', 't', 'a']
وَٱرۡكَعُواۡ             ['w', 'a', 'r', 'k', 'a', 'ʕ', 'u:']
مَعَ                  ['m', 'a', 'ʕ', 'a']
ٱلرّٰكِعِينَ             ['r', 'r', 'a:', 'k', 'i', 'ʕ', 'i:', 'n']

44
۞أَتَأۡمُرُونَ            ['ʔ', 'a', 't', 'a', 'ʔ', 'm', 'u', 'r', 'u:', 'n', 'a']
ٱلنَّاسَ               ['n̰', 'a:', 's', 'a']
بِٱلۡبِرِّ               ['b', 'i', 'l', 'b', 'i', 'r', 'r', 'i']
وَتَنسَوۡنَ              ['w', 'a', 't', 'a', 'Ikh1', 's', 'a', 'w', 'n', 'a']
أَنفُسَكُمۡ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'a', 'k', 'u', 'm']
وَأَنتُمۡ               ['w', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm']
تَتۡلُونَ               ['t', 'a', 't', 'l', 'u:', 'n', 'a']
ٱلۡكِتَـٰبَ‌ۚ             ['l', 'k', 'i', 't', 'a:', 'b', 'a']
أَفَلَا                ['ʔ', 'a', 'f', 'a', 'l', 'a:']
تَعۡقِلُونَ              ['t', 'a', 'ʕ', 'q', 'i', 'l', 'u:', 'n']

45
وَٱسۡتَعِينُواۡ           ['w', 'a', 's', 't', 'a', 'ʕ', 'i:', 'n', 'u:']
بِٱلصَّبۡرِ              ['b', 'i', 'sˤ', 'sˤ', 'a', 'b', 'Q', 'r', 'i']
وَٱلصَّلَوٰةِ‌ۚ            ['w', 'a', 'sˤ', 'sˤ', 'a', 'l', 'a', 't', 'i']
وَإِنَّهَا               ['w', 'a', 'ʔ', 'i', 'n̰', 'a', 'h', 'a:']
لَكَبِيرَةٌ              ['l', 'a', 'k', 'a', 'b', 'i:', 'r', 'a', 't', 'un']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلۡخَـٰشِعِينَ            ['l', 'x', 'a:', 'ʃ', 'i', 'ʕ', 'i:', 'n']

46
ٱلَّذِينَ               ['l', 'a', 'ð', 'i:', 'n', 'a']
يَظُنُّونَ               ['j', 'a', 'ðˤ', 'u', 'n̰', 'u:', 'n', 'a']
أَنَّهُم                ['ʔ', 'a', 'n̰', 'a', 'h', 'u', 'm̰']
مُّلَـٰقُواۡ              ['u', 'l', 'a:', 'q', 'u:']
رَبِّهِمۡ                ['r', 'a', 'b', 'b', 'i', 'h', 'i', 'm']
وَأَنَّهُمۡ               ['w', 'a', 'ʔ', 'a', 'n̰', 'a', 'h', 'u', 'm']
إِلَيۡهِ                ['ʔ', 'i', 'l', 'a', 'j', 'h', 'i']
رٰجِعُونَ               ['r', 'a:', 'ʒ', 'i', 'ʕ', 'u:', 'n']

47
يَـٰبَنِىٓ               ['j', 'a:', 'b', 'a', 'n', 'i:']
إِسۡرٰٓءِيلَ              ['ʔ', 'i', 's', 'r', 'a:', 'ʔ', 'i:', 'l', 'a']
ٱذۡكُرُواۡ              ['ð', 'k', 'u', 'r', 'u:']
نِعۡمَتِىَ               ['n', 'i', 'ʕ', 'm', 'a', 't', 'i', 'j', 'a']
ٱلَّتِىٓ                ['l', 'l', 'a', 't', 'i:']
